Pressure,Height,Temp,Shum,
981.0,317,11.6,8.52,
975.0,369,15.0,8.87,
966.0,448,16.8,9.07,
936.0,718,17.4,6.94,
925.0,819,17.2,6.03,
914.7,914,17.0,5.34,
913.0,930,17.0,5.23,
882.4,1219,15.2,5.26,
851.1,1524,13.3,5.30,
850.0,1535,13.2,5.30,
820.4,1829,11.5,5.00,
790.8,2134,9.7,4.70,
762.3,2438,8.0,4.41,
734.8,2743,6.2,4.13,
711.0,3016,4.6,3.90,
708.2,3048,4.8,3.32,
704.0,3096,5.2,2.59,
700.0,3143,4.8,2.33,
691.0,3249,5.8,0.72,
657.0,3658,4.3,0.58,
632.9,3962,3.1,0.50,
614.0,4208,2.2,0.44,
609.5,4267,1.7,0.47,
564.6,4877,-3.6,1.00,
564.0,4886,-3.7,1.01,
556.0,4999,-2.3,0.23,
543.2,5182,-4.0,0.13,
518.0,5556,-7.5,0.04,
502.5,5791,-8.7,0.10,
500.0,5830,-8.9,0.11,
482.8,6096,-10.7,0.11,
411.1,7315,-18.7,0.12,
406.0,7410,-19.3,0.12,
400.0,7520,-20.3,0.11,
394.5,7620,-21.2,0.11,
336.0,8785,-31.3,0.13,
319.2,9144,-33.6,0.07,
300.0,9580,-36.5,0.04,
279.5,10058,-40.1,0.03,
255.3,10668,-44.8,0.02,
250.0,10810,-45.9,0.01,
248.0,10864,-46.5,0.01,
202.4,12192,-54.1,0.01,
200.0,12270,-54.5,0.01,
186.0,12731,-58.3,0.01,
150.0,14070,-62.7,0.01,
136.9,14630,-66.4,0.01,
132.0,14852,-67.9,0.01,
123.8,15240,-67.8,0.01,
117.7,15545,-67.7,0.01,
106.4,16154,-67.6,0.01,
100.0,16530,-67.5,0.01,
96.2,16764,-67.2,0.01,
91.5,17069,-66.7,0.01,
82.7,17678,-65.8,0.01,
71.1,18593,-64.4,0.01,
70.0,18690,-64.3,0.01,
67.7,18898,-64.2,0.01,
62.8,19354,-64.1,0.00,
55.5,20120,-58.9,0.00,
55.5,20117,-58.9,0.00,
52.9,20422,-60.3,0.01,
51.2,20623,-61.3,0.01,
50.4,20726,-60.9,0.01,
50.0,20770,-60.7,0.01,
48.0,21031,-59.6,0.01,
45.7,21336,-58.3,0.01,
40.4,22117,-54.9,0.01,
37.7,22555,-54.6,0.01,
34.3,23165,-54.1,0.01,
32.7,23470,-53.9,0.01,
31.2,23774,-53.7,0.01,
30.0,24030,-53.5,0.01,
28.4,24384,-52.9,0.02,
27.1,24689,-52.4,0.02,
25.9,24994,-51.9,0.02,
23.5,25603,-50.9,0.03,
22.5,25908,-50.4,0.03,
21.4,26213,-49.9,0.03,
20.0,26660,-49.1,0.04,
19.5,26822,-48.8,0.04,
